id	uf	municipio	total	quantidade	percentual
2906	PE	CORTES	237	87	59.92
2907	PE	CUMARU	360	166	50.00
2908	PE	CUPIRA	702	305	49.57
2909	PE	CUSTODIA	805	269	60.37
2910	PE	DORMENTES	637	323	42.23
2911	PE	ESCADA	1256	371	64.97
2912	PE	EXU	848	269	63.68
2913	PE	FEIRA NOVA	750	263	62.00
2914	PE	FERNANDO DE NORONHA	36	13	52.78
2915	PE	FERREIROS	314	100	65.61
2916	PE	FLORES	441	162	59.18
2917	PE	FLORESTA	1243	342	69.11
2918	PE	FREI MIGUELINHO	203	120	40.39
2919	PE	GAMELEIRA	388	94	65.98
2920	PE	GARANHssUNS	1	1	0.00
2921	PE	GARANHUNS	6011	2227	56.93
2922	PE	GLORIA DO GOITA	765	213	68.37
2923	PE	GOIANA	1694	501	63.64
2924	PE	GRANITO	269	29	83.64
2925	PE	GRAVATA	2344	1137	47.31
2926	PE	IATI	303	99	62.05
2927	PE	IBIMIRIM	386	115	65.03
2928	PE	IBIRAJUBA	117	57	48.72
2929	PE	IGARASSU	2536	751	63.21
2930	PE	IGUARACI	269	112	52.42
2931	PE	ILHA DE ITAMARACA	425	108	66.35
2932	PE	INAJA	85	24	67.06
2933	PE	INGAZEIRA	125	57	49.60
2934	PE	IPOJUCA	1179	284	68.19
2935	PE	IPUBI	357	68	70.87
2936	PE	ITACURUBA	127	26	77.95
2937	PE	ITAIBA	235	78	62.55
2938	PE	ITAMBE	655	183	65.80
2939	PE	ITAPETIM	316	134	50.32
2940	PE	ITAPISSUMA	475	119	69.47
2941	PE	ITAQUITINGA	174	34	75.86
2942	PE	JABOATAO DOS GUARARAPES	22426	7162	61.70
2943	PE	JABOATAO DOS UARARAPES	1	0	100.00
2944	PE	JABOATAO DOSGUARARAPES	1	0	100.00
2945	PE	JABOATO DOS GUARARAPES	1	0	100.00
2946	PE	JAQUEIRA	208	72	60.58
2947	PE	JATAUBA	231	70	60.61
2948	PE	JATOBA	439	89	77.90
2949	PE	JBOATAO DOS GUARARAPES	2	0	100.00
2950	PE	JOAO ALFREDO	435	190	43.68
2951	PE	JOAQUIM NABUCO	251	51	73.71
2952	PE	JUCATI	231	81	62.34
2953	PE	JUPI	380	121	61.84
2954	PE	JUREMA	344	125	60.76
2955	PE	LAGOA DE ITAENGA	777	188	71.30
2956	PE	LAGOA DO CARRO	516	188	60.85
2957	PE	LAGOA DO OURO	283	92	63.96
2958	PE	LAGOA DOS GATOS	289	138	47.40
2959	PE	LAGOA GRANDE	565	114	73.27
2960	PE	LAJEDO	968	345	58.37
2961	PE	LIMOEIRO	2055	793	57.42
2962	PE	MACAPARANA	599	262	53.09
2963	PE	MACHADOS	207	99	48.79
2964	PE	MANARI	38	12	57.89
2965	PE	MARAIAL	148	39	67.57
2966	PE	MIRANDIBA	384	80	77.34
2967	PE	MOREILANDIA	398	110	68.59
2968	PE	MORENO	1659	424	68.35
